weatherid,year,month,day,holiday,Time,temperature,apparentTemperature,humidity,pressure,windSpeed,visibility,icon,dewPoint,cloudCover,city
502,2019,9,13,0,16:00:00,92.46,92.46,0.34,1011.96,6.74,10,1,60.35,0,3
503,2019,9,13,0,17:00:00,92.84,92.84,0.31,1011.71,6.33,10,1,58.03,0.06,3
504,2019,9,13,0,18:00:00,92.95,92.95,0.31,1010.93,6.62,10,1,57.58,0,3
505,2019,9,13,0,19:00:00,91.41,91.41,0.31,1010.85,6.46,10,1,56.76,0,3
506,2019,9,13,0,20:00:00,89.84,89.84,0.32,1010.71,5.48,10,1,56.17,0,3
507,2019,9,13,0,21:00:00,85.69,85.69,0.36,1010.71,3.41,9.877,2,55.58,0,3
508,2019,9,13,0,22:00:00,81.84,81.84,0.43,1011.08,2.79,9.579,2,56.91,0,3
509,2019,9,13,0,23:00:00,79.62,79.62,0.48,1011.35,2.86,10,2,58.33,0,3
510,2019,9,14,1,00:00:00,78.06,78.06,0.52,1011.54,3.65,10,2,58.95,0,3
511,2019,9,14,1,01:00:00,76.91,76.97,0.57,1011.87,3.79,10,2,60.5,0,3
512,2019,9,14,1,02:00:00,75.44,75.51,0.6,1011.93,3.13,10,2,60.72,0,3
513,2019,9,14,1,03:00:00,74.08,74.19,0.64,1012.34,2.15,10,2,61.04,0,3
514,2019,9,14,1,04:00:00,72.88,72.92,0.65,1012.44,2.71,9.865,2,60.37,0,3
515,2019,9,14,1,05:00:00,71.83,71.83,0.66,1011.99,2.39,10,2,59.89,0,3
516,2019,9,14,1,06:00:00,71.9,71.9,0.65,1011.94,2.37,10,2,59.57,0,3
517,2019,9,14,1,07:00:00,70.26,70.26,0.67,1012.13,2.34,10,2,58.89,0,3
518,2019,9,14,1,08:00:00,69.79,69.79,0.67,1012.16,2.92,10,2,58.3,0.08,3
519,2019,9,14,1,09:00:00,69.36,69.36,0.65,1012.55,2.81,9.011,1,57.25,0.1,3
520,2019,9,14,1,10:00:00,72.2,72.2,0.63,1012.9,1.98,6.793,1,58.71,0.03,3
521,2019,9,14,1,11:00:00,77.41,77.5,0.56,1013.25,1.58,4.863,1,60.67,0.03,3
522,2019,9,14,1,12:00:00,82.26,83,0.5,1013.19,2.31,9.531,1,61.57,0.02,3
523,2019,9,14,1,13:00:00,87,87,0.41,1013.12,3.3,10,1,60.48,0,3
524,2019,9,14,1,14:00:00,90.25,90.25,0.36,1012.63,4.41,10,1,59.69,0,3
525,2019,9,14,1,15:00:00,92.85,92.85,0.32,1012.12,5.11,10,1,58.31,0.02,3
526,2019,9,14,1,16:00:00,94.26,94.26,0.32,1011.38,6.34,10,1,59.7,0.02,3
527,2019,9,14,1,17:00:00,94.14,94.14,0.31,1010.47,6.35,10,1,59.06,0,3
528,2019,9,14,1,18:00:00,93.78,93.78,0.31,1010.12,5.96,10,1,58.14,0.02,3
529,2019,9,14,1,19:00:00,92.12,92.12,0.31,1010.11,5.96,10,1,57,0,3
530,2019,9,14,1,20:00:00,89.15,89.15,0.34,1009.69,4.88,10,1,56.73,0.03,3
531,2019,9,14,1,21:00:00,84.95,84.95,0.38,1010.02,3.22,10,2,56.78,0,3
532,2019,9,14,1,22:00:00,80.52,80.87,0.46,1010.55,2.89,10,2,57.88,0.03,3
533,2019,9,14,1,23:00:00,78.62,78.62,0.49,1010.89,2.79,9.669,2,57.6,0,3
534,2019,9,15,1,00:00:00,76.38,76.38,0.54,1011.13,2.34,10,2,58.72,0.04,3
535,2019,9,15,1,01:00:00,75.99,75.99,0.57,1011.29,1.73,10,2,59.88,0,3
536,2019,9,15,1,02:00:00,74.49,74.54,0.62,1011.37,2.37,10,2,60.5,0,3
537,2019,9,15,1,03:00:00,74.37,74.41,0.62,1011.44,2.13,9.529,2,60.41,0,3
538,2019,9,15,1,04:00:00,72.29,72.33,0.66,1011.14,2.84,9.844,2,60.4,0,3
539,2019,9,15,1,05:00:00,71.04,71.15,0.7,1010.74,2.57,8.937,2,60.9,0.08,3
540,2019,9,15,1,06:00:00,70.84,70.87,0.69,1010.55,2.53,8.953,5,60.15,0.16,3
541,2019,9,15,1,07:00:00,70.57,70.57,0.67,1010.79,2.61,8.097,5,59.18,0.38,3
542,2019,9,15,1,08:00:00,68.34,68.34,0.71,1011.33,2.37,4.783,5,58.58,0.7,3
543,2019,9,15,1,09:00:00,67.48,67.48,0.71,1011.46,2.49,4.07,3,57.61,0.88,3
544,2019,9,15,1,10:00:00,67.78,67.78,0.71,1011.8,2.61,4.598,4,58.07,0.77,3
545,2019,9,15,1,11:00:00,70.91,70.96,0.69,1012.35,2.03,6.904,4,60.4,0.47,3
546,2019,9,15,1,12:00:00,74.71,74.91,0.64,1012.32,1.88,7.571,4,61.88,0.32,3
547,2019,9,15,1,13:00:00,81.01,81.98,0.52,1012.05,2.76,10,1,61.7,0.09,3
548,2019,9,15,1,14:00:00,85.04,85.06,0.44,1011.62,4.11,10,1,60.41,0.07,3
549,2019,9,15,1,15:00:00,87.99,87.99,0.37,1011.2,5.95,10,4,58.33,0.2,3
550,2019,9,15,1,16:00:00,88.38,88.38,0.36,1011.52,8.27,10,4,58.35,0.47,3
551,2019,9,15,1,17:00:00,87.03,87.03,0.37,1011.31,8.85,10,4,57.41,0.7,3
552,2019,9,15,1,18:00:00,85.17,85.17,0.37,1010.98,8.1,10,4,56.25,0.76,3
553,2019,9,15,1,19:00:00,83.75,83.75,0.4,1010.9,7.12,10,4,56.59,0.74,3
554,2019,9,15,1,20:00:00,81.61,81.61,0.44,1011.04,6.05,10,4,57.42,0.67,3
555,2019,9,15,1,21:00:00,78.41,78.41,0.51,1011.37,5,10,5,58.61,0.47,3
556,2019,9,15,1,22:00:00,75.07,75.07,0.59,1011.83,4.16,10,5,59.92,0.67,3
557,2019,9,15,1,23:00:00,73.66,73.74,0.64,1012.36,3.23,10,5,60.74,0.74,3
558,2019,9,16,0,00:00:00,72.61,72.77,0.68,1012.91,3.12,10,5,61.47,0.81,3
559,2019,9,16,0,01:00:00,71.72,71.97,0.72,1013.26,3.25,10,5,62.11,0.85,3
560,2019,9,16,0,02:00:00,70.64,70.98,0.76,1013.1,3.03,10,5,62.76,0.8,3
561,2019,9,16,0,03:00:00,69.67,70.06,0.79,1013.05,3.11,10,5,62.89,0.72,3
562,2019,9,16,0,04:00:00,69.6,70.02,0.8,1012.51,3.21,10,5,63.11,0.57,3
563,2019,9,16,0,05:00:00,68.54,68.95,0.82,1012.42,3.22,10,5,62.78,0.54,3
564,2019,9,16,0,06:00:00,67.32,67.69,0.84,1012.38,3.22,10,5,62.25,0.49,3
565,2019,9,16,0,07:00:00,66.52,66.85,0.84,1012.44,3.19,10,5,61.7,0.44,3
566,2019,9,16,0,08:00:00,65.76,66.03,0.85,1012.76,3.01,10,5,61.08,0.37,3
567,2019,9,16,0,09:00:00,65.59,65.8,0.84,1013.14,2.77,10,4,60.65,0.29,3
568,2019,9,16,0,10:00:00,66.76,66.89,0.8,1013.38,2.89,10,4,60.34,0.23,3
569,2019,9,16,0,11:00:00,69.93,70.02,0.72,1013.56,3.64,10,4,60.62,0.21,3
570,2019,9,16,0,12:00:00,74.23,74.33,0.63,1013.63,4.77,10,4,61.02,0.21,3
571,2019,9,16,0,13:00:00,77.9,78,0.55,1013.77,5.86,10,4,60.68,0.21,3
572,2019,9,16,0,14:00:00,80.92,81.34,0.47,1013.68,6.86,10,4,58.98,0.22,3
573,2019,9,16,0,15:00:00,83.35,83.35,0.4,1013.26,7.8,10,4,56.5,0.22,3
574,2019,9,16,0,16:00:00,84.61,84.61,0.36,1013.03,8.46,10,4,54.59,0.23,3
575,2019,9,16,0,17:00:00,84.29,84.29,0.35,1012.53,8.75,10,4,53.49,0.25,3
576,2019,9,16,0,18:00:00,83.16,83.16,0.35,1011.99,8.72,10,4,52.63,0.26,3
577,2019,9,16,0,19:00:00,81.92,81.92,0.37,1011.66,8.3,10,4,52.96,0.26,3
578,2019,9,16,0,20:00:00,80.23,80.23,0.41,1011.71,7.32,10,4,54.68,0.23,3
579,2019,9,16,0,21:00:00,77,77,0.5,1012.17,6,10,5,57.02,0.18,3
580,2019,9,16,0,22:00:00,74.1,74.1,0.59,1012.54,4.88,10,5,58.82,0.14,3
581,2019,9,16,0,23:00:00,72.1,72.1,0.65,1012.76,4.15,10,5,59.8,0.13,3
