Neighborhood,neighbor_lat,neighbor_lon,population,ethnicity_white,income,ed.col,age
Green Meadows,33.94191831,-118.2634704,28381,0.6%,31347,3.6%,24
Griffith Park,34.136859,-118.3012315,902,55.6%,92864,55.0%,33
Hacienda Heights,33.99810292,-117.966515,52525,22.5%,80762,30.8%,36
Hancock Park,34.0741925,-118.3334747,9804,70.7%,85277,56.2%,37
Hansen Dam,34.2656655,-118.368858,394,37.3%,36183,34.0%,33
Harbor City,33.79403636,-118.3007016,2356,25.1%,55454,18.1%,30
Harbor Gateway,33.874952,-118.2923807,39688,11.8%,47849,12.4%,27
Harvard Heights,34.04511425,-118.306748,18587,3.3%,31173,10.3%,30
Harvard Park,33.978462,-118.3013325,10297,1.1%,37013,4.8%,28
Hawaiian Gardens,33.82704,-118.0724435,14915,10.9%,46853,6.7%,24
Hawthorne,33.91277544,-118.3433878,86825,12.9%,43602,12.6%,27
Hermosa Beach,33.86555451,-118.397187,18442,84.9%,109509,67.6%,33
Hidden Hills,34.162707,-118.6715635,1875,88.7%,203199,57.9%,41
Highland Park,34.11573264,-118.1921856,57566,11.3%,45478,14.3%,28
Historic South-Central,34.01718,-118.265971,49728,1.2%,30882,3.2%,23
Hollywood,34.09584661,-118.3314281,85489,41.0%,33694,27.5%,31
Hollywood Hills,34.118984,-118.3351542,21588,74.1%,69277,54.8%,37
Hollywood Hills West,34.10895863,-118.3701962,14860,84.9%,108199,58.8%,41
Huntington Park,33.97990911,-118.2153753,61270,3.0%,39185,4.7%,24
Hyde Park,33.9857357,-118.3290879,36685,2.0%,39460,12.3%,31
Industry,34.02311343,-117.9285887,10008,24.0%,66616,12.0%,33
Inglewood,33.95536561,-118.3445106,112482,4.0%,46574,13.3%,29
Irwindale,34.108944,-117.966677,1472,8.1%,60959,7.3%,27
Jefferson Park,34.02862358,-118.3213329,23130,2.7%,32654,11.8%,31
Koreatown,34.06408062,-118.3013297,115070,32.2%,30558,21.4%,30
La Canada Flintridge,34.21039375,-118.2000949,20381,70.7%,148996,63.5%,41
La Crescenta-Montrose,34.225596,-118.2344555,18507,66.0%,82693,40.8%,38
La Habra Heights,33.958909,-117.9584325,6094,63.9%,137034,49.3%,43
La Mirada,33.90469314,-118.0092399,46782,46.9%,83514,25.2%,35
La Puente,34.03441819,-117.9533148,41009,6.7%,55902,7.8%,26
La Verne,34.11723657,-117.7729769,33117,64.0%,83352,31.4%,37
Ladera Heights,34.00084788,-118.3774693,6509,19.1%,117925,53.4%,43
Lake Balboa,34.2019935,-118.5065822,24238,49.0%,65336,23.5%,35
Lake Los Angeles,34.6312205,-117.845138,11141,47.1%,52146,8.8%,27
Lake View Terrace,34.2816975,-118.3775637,11803,22.3%,67985,16.4%,31
Lakewood,33.84689906,-118.1159964,79412,52.3%,78764,20.7%,35
Lancaster,34.68587616,-118.1495194,120783,52.6%,56069,15.9%,31
Larchmont,34.0798615,-118.3147168,8631,24.0%,47780,31.9%,34
Lawndale,33.88757158,-118.3530887,31729,22.1%,53150,12.5%,28
Leimert Park,34.011869,-118.3275808,11782,1.2%,45865,21.9%,38
Lennox,33.9387142,-118.3582586,22950,3.9%,37937,3.0%,23
Leona Valley,34.6249465,-118.305774,1374,79.6%,117526,32.9%,41
Lincoln Heights,34.07194742,-118.2121968,26616,2.7%,30579,5.5%,27
Lomita,33.79860033,-118.317997,19984,53.7%,59059,22.9%,35
